Accession	p-value	fold_change
17137608	0.89	1.0136986301369864
20130037	0.99	1.0
21429196	0.6	0.9489795918367347
24641542	0.84	0.8977556109725686
464020	0.53	1.1502890173410405
45553475	0.25	0.8691588785046729
19921654	0.62	1.0909090909090908
378342893	0.68	0.9593023255813954
442620163	0.54	1.1446078431372548
19922220	0.2	1.1094890510948905
320544544	0.4	1.3412322274881516
24640551	0.06	1.25
24649937	0.88	0.9870967741935484
17737553	0.38	0.8051575931232091
442631015	0.00731	0.6272189349112426
221379506	0.13	2.255225522552255
17647815	0.16	1.175886524822695
17933672	0.69	0.5628099173553719
442620376	0.41	1.087087087087087
19922486	0.68	1.0348258706467661
17136998	0.05	1.1282660332541568
19921938	0.39	1.2982456140350878
24585954	0.37	0.7858942065491183
19922080	0.28	1.1638418079096045
17137564	0.26	0.8273504273504273
57157225	0.79	0.9747474747474747
21711801	0.77	1.0299884659746252
24643243	0.4	0.9303201506591338
19921242	0.81	0.9657534246575342
17864540	0.05	1.328
38048675	0.59	0.9184652278177458
161078346	0.45	1.1088435374149659
17737463	0.78	1.056390977443609
20129011	0.1	1.300395256916996
284515842	0.03	1.1876923076923076
17862972	0.61	0.9423503325942351
313760720	0.87	0.9878721058434399
17864154	0.25	0.7894736842105263
24655252	0.56	1.0609418282548477
8094	0.84	1.055350553505535
24651753	0.07	1.1972789115646258
24652022	0.37	2.968503937007874
24646611	0.21	0.881578947368421
24638591	0.53	0.9143239625167336
24645595	0.64	1.0789473684210527
17136698	0.66	0.925
17137592	0.76	1.031496062992126
221468704	0.6	1.1004784688995215
24581334	0.31	1.0902777777777777
28574962	0.79	0.9648609077598829
18859803	0.54	0.8391959798994975
19922458	0.45	1.0784313725490196
158332	0.3	1.9602977667493797
157800	0.28	2.781954887218045
24656644	0.88	1.0240963855421688
24650959	0.11	1.2032520325203253
24654874	0.24	1.26890756302521
24641480	0.0055	1.2300884955752212
17137132	0.19	1.1144578313253013
442616752	0.81	1.058139534883721
157594	0.19	1.2113055181695829
158340	0.22	1.2672540381791484
28317158	0.02	0.8244274809160306
21355773	0.73	0.9723076923076923
442632632	0.45	1.0946372239747635
24646105	0.76	1.0582959641255605
24645686	0.0075	0.7045454545454546
24645384	0.29	1.2764227642276422
24647881	0.28	1.3546099290780143
17137288	0.15	1.2692307692307692
19920594	0.2	1.370757180156658
24655228	0.31	1.2033271719038816
17864358	0.3	1.2115384615384615
281359572	0.36	0.8283261802575107
545746514	0.06	1.4148471615720524
21358615	0.07	0.7032640949554896
17137712	0.96	0.9218573046432617
21356737	0.05	0.6804733727810651
24639835	0.16	1.1928251121076232
19921806	0.00515	0.1581196581196581
24666513	0.17	0.5665236051502146
17137300	0.94	1.0100502512562815
18079273	0.65	0.930718954248366
386763913	0.62	1.0426356589147288
21357743	0.13	1.6585365853658536
19921528	0.9	0.978698224852071
17137038	0.82	0.9814385150812065
24641290	0.22	0.7417322834645669
24638603	0.31	1.2036199095022624
24584107	0.28	0.8
28558750	0.85	0.9834710743801653
24642586	0.21	1.1986531986531987
24583631	0.99	0.9855072463768116
17137142	0.3	1.2312925170068028
45552675	0.72	1.0396825396825398
24648453	0.44	1.0805860805860805
526479864	0.1	0.7624161073825504
24648329	0.96	0.9757085020242915
281359537	0.67	1.040767386091127
28572126	0.04	1.2677304964539007
45551451	0.62	1.1198738170347002
21357965	0.19	1.1104734576757531
229892355	0.09	0.8638360175695461
24649360	0.99	0.9985380116959064
24657265	0.43	1.1326676176890156
24646365	0.67	1.0764331210191083
62484278	0.18	0.8455414012738853
21355211	0.18	0.9221183800623053
24640905	0.01	0.7956140350877193
17946702	0.86	1.0148148148148148
17737731	0.1	1.2077087794432548
18859851	0.17	0.875
28573949	0.73	1.163292847503374
4512034	0.73	0.9543147208121827
161077242	0.98	0.9776119402985075
24662946	0.23	1.175792507204611
21357875	0.22	1.23125
24638754	0.64	1.0806451612903225
24585803	0.81	1.0223463687150838
12006761	0.26	1.2178217821782178
21357547	0.25	0.8191489361702128
45549019	0.49	1.1672240802675586
24646609	0.86	0.9894957983193278
28573732	0.88	0.9425
24581168	0.47	1.144694533762058
221330318	0.45	1.0869565217391304
45825129	0.25	1.1790697674418604
442621870	0.13	0.748792270531401
24663169	0.45	0.9184782608695652
24645031	0.58	0.9239130434782609
24647046	0.47	1.0753424657534247
18079297	0.04	1.432225063938619
442631979	0.6	0.8855869242199108
21356157	0.75	1.0568181818181819
21406656	0.94	0.9905660377358491
20130249	0.04	0.6949602122015915
17737405	0.07	1.1176470588235294
21357319	0.4	0.8158253751705321
17647523	0.45	1.163265306122449
17933600	0.98	1.0
156800	0.17	0.6827371695178849
21356527	0.91	1.006611570247934
281361137	0.01	0.693631669535284
17137572	0.84	0.9765395894428153
386770403	0.28	2.0588235294117645
2653397	0.07	0.7543859649122807
24645208	0.02	0.6789473684210526
21357721	0.95	0.9769585253456221
17157991	0.98	1.0113452188006482
17137738	0.9	0.9832214765100671
24762437	0.27	1.2333767926988266
17136470	0.18	0.8
21358459	0.64	1.0844594594594594
24654656	0.75	0.9300699300699301
24638772	0.33	1.0841638981173864
531500	0.97	1.0093023255813953
19922992	0.91	1.112
18859837	0.75	1.0617283950617284
24643411	0.22	1.234375
24583343	0.13	0.8824786324786325
21358125	0.08	1.4406779661016949
28574893	0.37	0.812206572769953
14029388	0.87	1.0327272727272727
116805810	0.53	1.1123348017621146
18079265	0.05	1.3105263157894738
386767818	0.49	0.8513761467889909
442627689	0.43	1.2361111111111112
24638679	0.49	0.8683651804670913
281361040	0.87	1.0120481927710843
21358499	0.09	0.6811989100817438
442632869	0.17	1.296998420221169
8886088	0.05	0.6947674418604651
24662918	0.000611	0.3442367601246106
19922704	0.32	1.2
14334990	0.48	0.8984962406015038
161078688	0.93	1.0
24658585	0.14	1.1869918699186992
19921728	0.67	1.0831168831168831
18497296	0.22	1.3364485981308412
16768870	0.94	0.9922779922779923
17975579	0.39	0.8135593220338984
45551893	0.49	0.9119878603945372
17647521	0.84	0.9805825242718447
119638175	0.95	1.0132450331125828
116007606	0.44	1.0868421052631578
17933554	0.85	1.0212314225053079
161077164	0.47	1.0909090909090908
17137458	0.05	1.4586206896551723
21357161	0.52	1.1061946902654867
21356279	0.57	1.1202898550724638
17137242	0.61	0.9515418502202643
386763952	0.84	0.9431818181818182
24660640	0.98	1.0078125
261338785	0.85	0.9802371541501976
6980012	0.1	1.8472906403940887
17137578	0.87	1.0045045045045045
18543325	0.06	1.1943127962085307
21356855	0.97	1.0567200986436498
19922390	0.4	1.2205128205128206
21355973	0.49	0.9178217821782179
17647377	0.71	0.8898305084745762
254693009	0.76	1.0241228070175439
21356347	0.2	0.8586956521739131
45549263	0.91	1.0120481927710843
24644345	0.69	1.0497237569060773
24585145	0.23	0.8692982456140351
17137252	0.21	8.88888888888889
19920408	0.02	0.8828402366863906
24650833	0.6	0.91796875
24664191	0.62	1.0497737556561086
17137626	0.26	1.1295336787564767
17737841	0.05	1.4068241469816274
442616360	0.34	1.2544378698224852
24647566	0.87	1.0314465408805031
